CustomerName,ContactName,PostalCode,PurchaseUSD
Alfreds Futterkiste,Maria Anders,12209,14861
Ana Trujillo Emparedados y helados,Ana Trujillo,5021,9900
Antonio Moreno Taquer?a,Antonio Moreno,5023,7735
Around the Horn,Thomas Hardy,WA1 1DP,10295
Berglunds snabbk?p,Christina Berglund,S-958 22,6755
Blauer See Delikatessen,Hanna Moos,68306,12721
Blondel p?re et fils,Fr?d?rique Citeaux,67000,11426
B?lido Comidas preparadas,Mart?n Sommer,28023,17246
Bon app',Laurence Lebihans,13008,11816
Bottom-Dollar Marketse,Elizabeth Lincoln,T2F 8M4,6526
B's Beverages,Victoria Ashworth,EC2 5NT,10891
Cactus Comidas para llevar,Patricio Simpson,1010,13159
Centro comercial Moctezuma,Francisco Chang,5022,13596
Chop-suey Chinese,Yang Wang,3012,17712
Com?rcio Mineiro,Pedro Afonso,05432-043,9193
Consolidated Holdings,Elizabeth Brown,WX1 6LT,19895
Drachenblut Delikatessend,Sven Ottlieb,52066,8530
Du monde entier,Janine Labrune,44000,6805
Eastern Connection,Ann Devon,WX3 6FW,15030
Ernst Handel,Roland Mendel,8010,12008
Familia Arquibaldo,Aria Cruz,05442-030,7450
FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,28034,9835
Folies gourmandes,Martine Ranc?,59000,19579
Folk och f? HB,Maria Larsson,S-844 67,5875
Frankenversand,Peter Franken,80805,6426
France restauration,Carine Schmitt,44000,9193
Franchi S.p.A.,Paolo Accorti,10100,9410
Furia Bacalhau e Frutos do Mar,Lino Rodriguez,1675,6447
Galer?a del gastr?nomo,Eduardo Saavedra,8022,13586
Godos Cocina T?pica,Jos? Pedro Freyre,41101,13647
Gourmet Lanchonetes,Andr? Fonseca,04876-786,12359
Great Lakes Food Market,Howard Snyder,97403,12639
GROSELLA-Restaurante,Manuel Pereira,1081,9053
Hanari Carnes,Mario Pontes,05454-876,7732
HILARI?N-Abastos,Carlos Hern?ndez,5022,13235
Hungry Coyote Import Store,Yoshi Latimer,97827,6272
Hungry Owl All-Night Grocers,Patricia McKenna,,13800
Island Trading,Helen Bennett,PO31 7PJ,19110
K?niglich Essen,Philip Cramer,14776,5459
La corne d'abondance,Daniel Tonini,78000,13031
La maison d'Asie,Annette Roulet,31000,9259
Laughing Bacchus Wine Cellars,Yoshi Tannamuri,V3F 2K1,11072
Lazy K Kountry Store,John Steel,99362,16356
Lehmanns Marktstand,Renate Messner,60528,15810
Let's Stop N Shop,Jaime Yorres,94117,17372
LILA-Supermercado,Carlos Gonz?lez,3508,9386
LINO-Delicateses,Felipe Izquierdo,4980,13655
Lonesome Pine Restaurant,Fran Wilson,97219,19489
Magazzini Alimentari Riuniti,Giovanni Rovelli,24100,5171
Maison Dewey,Catherine Dewey,B-1180,12800
M?re Paillarde,Jean Fresni?re,H1J 1C3,19236
Morgenstern Gesundkost,Alexander Feuer,4179,17758
North/South,Simon Crowther,SW7 1RZ,18719
Oc?ano Atl?ntico Ltda.,Yvonne Moncada,1010,14918
Old World Delicatessen,Rene Phillips,99508,6586
Ottilies K?seladen,Henriette Pfalzheim,50739,10899
Paris sp?cialit?s,Marie Bertrand,75012,15930
Pericles Comidas cl?sicas,Guillermo Fern?ndez,5033,12663
Piccolo und mehr,Georg Pipps,5020,7212
Princesa Isabel Vinhoss,Isabel de Castro,1756,9977
Que Del?cia,Bernardo Batista,02389-673,6107
Queen Cozinha,L?cia Carvalho,05487-020,6652
QUICK-Stop,Horst Kloss,1307,12854
Rancho grande,Sergio Guti?rrez,1010,9789
Rattlesnake Canyon Grocery,Paula Wilson,87110,13403
Reggiani Caseifici,Maurizio Moroni,42100,6716
Ricardo Adocicados,Janete Limeira,02389-890,8122
Richter Supermarkt,Michael Holz,1203,5890
Romero y tomillo,Alejandra Camino,28001,14983
Sant? Gourmet,Jonas Bergulfsen,4110,19591
Save-a-lot Markets,Jose Pavarotti,83720,15890
Seven Seas Imports,Hari Kumar,OX15 4NB,12052
Simons bistro,Jytte Petersen,1734,14175
Sp?cialit?s du monde,Dominique Perrier,75016,13613
Split Rail Beer & Ale,Art Braunschweiger,82520,9930
Supr?mes d?lices,Pascale Cartrain,B-6000,16128
The Big Cheese,Liz Nixon,97201,19547
The Cracker Box,Liu Wong,59801,9686
Toms Spezialit?ten,Karin Josephs,44087,18851
Tortuga Restaurante,Miguel Angel Paolino,5033,8327
Tradi??o Hipermercados,Anabela Domingues,05634-030,12676
Trail's Head Gourmet Provisioners,Helvetius Nagy,98034,8749
Vaffeljernet,Palle Ibsen,8200,10379
Victuailles en stock,Mary Saveley,69004,10653
Vins et alcools Chevalier,Paul Henriot,51100,12696
Die Wandernde Kuh,Rita M?ller,70563,10429
Wartian Herkku,Pirkko Koskitalo,90110,18491
Wellington Importadora,Paula Parente,08737-363,10756
White Clover Markets,Karl Jablonski,98128,19975
Wilman Kala,Matti Karttunen,21240,16595
Wolski,Zbyszek,01-012,11634
